Move_koulu	Koulu
Hertsikan ala-aste	Hertsikan ala-asteen koulu
Herttoniemenrannan ala-aste	Herttoniemenrannan ala-asteen koulu
Hietakummun ala-aste	Hietakummun ala-asteen koulu
Kaisaniemen koulu	Kaisaniemen ala-asteen koulu
Keinutien ala-aste	Keinutien ala-asteen koulu
Konalan ala-aste	Konalan ala-asteen koulu
Kontulan ala-aste	Kontulan ala-asteen koulu
Kruununhaan yläaste	Kruununhaan yläasteen koulu
Kulosaaren ala-aste	Kulosaaren ala-asteen koulu
Laakavuoren ala-aste	Laakavuoren ala-asteen koulu
Lauttasaaren ala-aste	Lauttasaaren ala-asteen koulu
Meilahden yläaste	Meilahden yläasteen koulu
Mellunmäen ala-aste	Mellunmäen ala-asteen koulu
Munkkivuoren ala-aste	Munkkiniemen ala-asteen koulu
Oulunkylän ala-aste	Oulunkylän ala-asteen koulu
Pakilan ala-aste	Pakilan ala-asteen koulu
Pakilan yläaste	Pakilan yläasteen koulu
Paloheinän ala-aste	Paloheinän ala-asteen koulu
Pihkapuiston ala-aste	Pihkapuiston ala-asteen koulu
Pihlajiston ala-aste	Pihlajiston ala-asteen koulu
Pikku-Huopalahden ala-aste	Pikku Huopalahden ala-asteen koulu
Pohjois-Haagan ala-aste	Pohjois-Haagan ala-asteen koulu
Puistolanraitin ala-aste	Puistolanraitin ala-asteen koulu
Puotilan ala-aste	Puotilan ala-asteen koulu
Roihuvuoren ala-aste	Roihuvuoren ala-asteen koulu
Santahaminan ala-aste	Santahaminan ala-asteen koulu
Siltamäen ala-aste	Siltamäen ala-asteen koulu
Suutarilan ala-aste	Suutarilan ala-asteen koulu
Tahvonlahden ala-aste	Tahvonlahden ala-asteen koulu
Tapanilan ala-aste	Tapanilan ala-asteen koulu
Tehtaankadun ala-aste	Tehtaankadun ala-asteen koulu
Töölön ala-aste	Töölön ala-asteen koulu
Vallilan ala-aste	Vallilan ala-asteen koulu
Vartiokylän ala-aste	Vartiokylän ala-asteen koulu
Vartiokylän yläaste	Vartiokylän yläasteen koulu
